nombre,descripcion,lat,lng,tipo,poligono_coords,fecha_creacion,actividad_entrada,actividad_salida,prioridad_alerta,notas,status_entrada,status_salida
ALIMENTARIA_MEXICANA_BEKAREM_NEZA_EDOMEX,"Calle San Bartolo 170, Ampliación Vicente Villada, Nezahualcóyotl, México 57710, Mexico",19.398338,-99.011779,cliente,"[[19.3989446673, -99.0119437566], [19.3984589187, -99.0109727969], [19.3974722374, -99.0115414252], [19.3978719706, -99.0124909272], [19.3989446673, -99.0119437566]]",2025-11-19 14:45:48,Entrega en curso,Tránsito,baja,,Descargando,En Ruta
ALMACENADORA_BOSTON_TLAJOMULCO_JAL,"Calle Valle De Santa Cruz, Tlajomulco De Zúñiga, Jalisco, Mexico",20.466011,-103.496434,cliente,"[[20.4663334995, -103.496160009], [20.4654489554, -103.496382632], [20.4655142912, -103.496835926], [20.4664239639, -103.496629395], [20.4663334995, -103.496160009]]",2025-11-19 14:45:48,Entrega en curso,Tránsito,baja,,Descargando,En Ruta
APM_TERMINALS_LZC,"Boulevard De Las Bahías, Rinconcito Feliz, Lázaro Cárdenas, Michoacán De Ocampo 60952, Mexico",17.975508,-102.176037,puerto,"[[17.9777766225, -102.172507058], [17.977761315, -102.176879059], [17.9763377096, -102.178354274], [17.9756845821, -102.179008733], [17.9730414322, -102.178499113], [17.9727709919, -102.178214799], [17.9729138661, -102.172324668], [17.9777766225, -102.172507058]]",2025-11-19 14:45:48,Entrando en APM,Saliendo de APM,baja,,En Ruta,En Ruta
ARCA_CONTINENTAL_ TEPATITLA_JAL,"Boulevard Lic Anacleto González Flores Sur 2145, Las Aguilillas, Tepatitlán De Morelos, Jalisco 47698, Mexico",20.788619,-102.77412,cliente,"[[20.7896489924, -102.773982756], [20.7890321289, -102.772877686], [20.7876529536, -102.773703806], [20.7871113103, -102.776053421], [20.7896489924, -102.773982756]]",2025-11-19 14:45:48,Entrega en curso,Tránsito,baja,,Descargando,En Ruta
ARCA_CONTINENTAL_ ZAPOPAN_JAL,"Avenida De Las Flores 24, Residencial Esencia, Zapopan, Jalisco 45013, Mexico",20.72085,-103.456666,cliente,"[[20.7217210856, -103.457747433], [20.7212394151, -103.454657528], [20.7195836608, -103.455161783], [20.7199850575, -103.458015654], [20.7217210856, -103.457747433]]",2025-11-19 14:45:48,Entrega en curso,Tránsito,baja,,Descargando,En Ruta
ARCA_CONTINENTAL_AMECA_JAL,"Avenida Patria Libre Oeste 305, Los Naranjos, Ameca, Jalisco 46688, Mexico",20.536987,-104.047666,cliente,"[[20.5373471434, -104.048254097], [20.5382865305, -104.046821798], [20.536000846, -104.046746696], [20.5359556344, -104.048254097], [20.5373471434, -104.048254097]]",2025-11-19 14:45:48,Entrega en curso,Tránsito,baja,,Descargando,En Ruta
ARCA_CONTINENTAL_GDL_JAL,"Calle Manuel Román Alatorre 3331A, Jardines De Los Poetas, Guadalajara, Jalisco 44820, Mexico",20.650545,-103.292012,cliente,"[[20.6516972001, -103.292307992], [20.6515466087, -103.291417499], [20.6498976235, -103.291629393], [20.649844916, -103.291666944], [20.6498624851, -103.291889567], [20.649910173, -103.292337496], [20.6499051532, -103.292541344], [20.6516972001, -103.292307992]]",2025-11-19 14:45:48,Entrega en curso,Tránsito,baja,,Descargando,En Ruta
ARCA_LAZARO_CARDENAS_GUADALUPE_NL,"Avenida General Lázaro Cárdenas 1213, RIVERAS DEL RIO, Guadalupe, Nuevo León 67154, Mexico",25.681086,-100.228134,cliente,"[[25.6790576024, -100.230818901], [25.6828478714, -100.230432663], [25.6840323058, -100.227423225], [25.6842788601, -100.226296697], [25.6810832841, -100.22654346], [25.6801212104, -100.226672206], [25.6797924599, -100.226897512], [25.6795072197, -100.227299843], [25.6790576024, -100.230818901]]",2025-11-19 14:45:48,Entrega en curso,Tránsito,baja,,Descargando,En Ruta
ASLA_LZC,"Boulevard De Los Cabos, Rinconcito Feliz, Lázaro Cárdenas, Michoacán De Ocampo 60952, Mexico",17.97855,-102.182519,puerto,"[[17.9792665245, -102.180327127], [17.9798584094, -102.180769691], [17.979945151, -102.181882808], [17.9792996906, -102.183725485], [17.9786720865, -102.185109505], [17.9778046625, -102.185699591], [17.9774857555, -102.18550379], [17.9767714019, -102.1834519], [17.9764907622, -102.182692835], [17.9787154575, -102.180485377], [17.9790292598, -102.180254707], [17.9792665245, -102.180327127]]",2025-11-19 14:45:48,Entrando en Azla,Saliendo de Azla,baja,,En Ruta,En Ruta
AUDITORIA_LZC,"Boulevard De Los Cabos, Rinconcito Feliz, Lázaro Cárdenas, Michoacán De Ocampo 60952, Mexico",17.982073,-102.178632,puerto,"[[17.9831239692, -102.1794057], [17.9829453868, -102.177372585], [17.9804707258, -102.177506696], [17.980700335, -102.179470073], [17.9831239692, -102.1794057]]",2025-11-19 14:45:48,Entrando en Auditoria,Saliendo de auditoria,baja,,En Ruta,En Ruta
