nombre,tipo,ubicacion,lat,lng,status_entrada,status_salida,actividad_entrada,actividad_salida,prioridad_alerta,notas
ELAM FAW STEP JAL,taller,"Carretera Guadalajara-Nogales, Zapopan, Jalisco, Mexico",20.7207772153,-103.492542773,En Taller,Disponible,Mantenimiento,Esperando asignación,media,Oficina principal
ELAM FAW PUEBLA,taller,"Autopista México-Puebla, San José Las Flores, Puebla 72110, Mexico",19.0999848262,-98.2352222933,En Taller,Disponible,Mantenimiento,Esperando asignación,media,
ELAM FAW STEP MTY,taller,"Mex-54, Apodaca Centro, Apodaca, Nuevo León 66600, Mexico",25.7729188787,-100.189413,En Taller,Disponible,Mantenimiento,Esperando asignación,media,
ELAM FAW STEP  AGUASCALIENTES,taller,"Mex-45, Peñuelas, Aguascalientes 20340, Mexico",21.7360246531,-102.276630739,En Taller,Disponible,Mantenimiento,Esperando asignación,media,
ELAM FAW STEP LEON GTO,taller,"Carretera León-Silao, Fraccionamiento Los Jacales, León, Guanajuato 37683, Mexico",21.0329299178,-101.549863182,En Taller,Disponible,Mantenimiento,Esperando asignación,media,
ELAM FAW CULIACAN SIN,taller,"Boulevard Pedro Infante Cruz, Las Flores, Culiacán, Sinaloa 80104, Mexico",24.7777903847,-107.445647872,En Taller,Disponible,Mantenimiento,Esperando asignación,media,
ELAM FAW TOLUCA EDOMEX,taller,"Calle 2 De Abril Poniente 1210, Barrio San Francisco, San Mateo Atenco, México 52104, Mexico",19.2567541387,-99.5503250615,En Taller,Disponible,Mantenimiento,Esperando asignación,media,
FAW TRUCKS TEXCOCO EDOMEX,taller,"Avenida Benito Juárez, Fracc San Martín - Barr La Trinidad, Texcoco, México 56140, Mexico",19.5015879464,-98.8833447075,En Agencia,Disponible,Servicio agencia,Esperando asignación,media,
ELAM FAW PIRAMIDES EDOMEX,taller,"Carretera México-Texcoco, Tequisistlán, Tezoyuca, México 56020, Mexico",19.6000044868,-98.9385746035,En Taller,Disponible,Mantenimiento,Esperando asignación,media,
ELAM FAW VERACRUZ,taller,"Calle Paseo De Cosamaloapan 447, Tejería Centro, Veracruz, Veracruz De Ignacio De La Llave 91697, Mexico",19.1667918271,-96.2168206598,En Taller,Disponible,Mantenimiento,Esperando asignación,media,
ELAM LOGISTICS,taller,"Avenida Rubén Darío 761, Fracc Prados De Providencia, Guadalajara, Jalisco 44670, Mexico",20.6881222864,-103.385195858,En Taller,Disponible,Mantenimiento,Esperando asignación,media,
FAW TRUCKS QUERETARO,taller,"Distrito Federal, San Isidro Miranda, El Marqués, Querétaro 76246, Mexico",20.574408237,-100.331950193,En Agencia,Disponible,Servicio agencia,Esperando asignación,media,
CASA LIDER,cliente,"Paseo Torreón 1857, Fracc Colinas De San Javier, Guadalajara, Jalisco 44660, Mexico",20.7025407171,-103.395933289,Descargando,En Ruta,Entrega en curso,Tránsito,baja,
